product_name,brand,category,ingredients,size,image_url,product_url,official_product_page,brand_website,external_description,identifier_info
"K-SECRET – SEOUL 1988 Serum: Retinal Liposome 2% + Black Ginseng, 30ml",K-SECRET,Serum,"Retinal Liposome 2% – a potent form of vitamin A that boosts cell renewal, helps reduce fine lines and improves texture. Black Ginseng Extract – offers antioxidant support, enhances skin resilience and nutrition, and helps firm the skin. Niacinamide & Peptides – assist in evening skin tone, refining pores, and promoting elasticity. Hydrating Humectants – support moisture retention to prevent dryness during anti-aging treatment. Smooth, Lightweight Serum Texture – designed to absorb quickly and layer easily in the night routine.",30ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/ksecret-seoul-1988-serum-retinal-liposome-2-black-ginseng-30ml/,"{'title': 'SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng – K ...', 'link': 'https://ksecretcosmetics.com/products/copy-of-seoul-1988-serum-retinal-liposome-2-black-ginseng', 'snippet': 'Imagine using this on your neck for a month #ksecret #retinal #retinol #wrinklecare #antiaging #neckline #skincarehacks · Say goodbye to large pores! · 7 days\xa0...'}","{'title': 'K-SECRET Cosmetics: K-SECRET | Inspired by Seoul, Perfected by ...', 'link': 'https://ksecretcosmetics.com/', 'snippet': 'KSECRET I Inspired by Seoul, Perfected by Derma\xa0...'}","{'title': 'SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng – K ...', 'link': 'https://ksecretcosmetics.com/products/copy-of-seoul-1988-serum-retinal-liposome-2-black-ginseng', 'snippet': '... , especially aging and mature skin. Details Volume 30ml Product info MADE IN KOREA WATER, GLYCERIN, DIPROPYLENE GLYCOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, 1,2-HEX.'}","{'title': 'K-Secret Seoul 1988 Retinol & Black Ginseng Serum - 30ml - تسوق ...', 'link': 'https://the-beauty-line.com/en/bwREKRa', 'snippet': 'An advanced formula that focuses on rejuvenating the skin and restoring its natural radiance, using a powerful blend of 2% Retinal and 58% Black Ginseng\xa0...'}"
"K-SECRET – SEOUL 1988 Eye Cream: Retinal Liposome 4% + Fermented Bean, 30ml",K-SECRET,Moisturizer,"Retinal Liposome 4% – a potent vitamin A derivative embedded in liposomes for enhanced stability and absorption, promoting cellular renewal and improved texture around the eyes. Fermented Bean Extracts – rich in peptides, amino acids, and nutrients that support elasticity, firmness, and overall skin health. Peptide Complex – specifically formulated for the eye area to boost collagen and improve support and resilience. Hydrating Humectants such as Hyaluronic Acid & Glycerin – provide moisture to counter dryness caused by active treatment. Rich Yet Silky Texture – absorbs well, works under both morning (if tolerated) and night routines.",30ml,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/ksecret-seoul-1988-eye-cream-retinal-liposome-4-fermented-bean-30ml/,"{'title': 'K-SECRET SEOUL 1988 Retinal Eye Cream ... - Amazon.com', 'link': 'https://www.amazon.com/KSECRET-SEOUL-1988-Retinal-Cream/dp/B0DGGBYDRZ', 'snippet': '... with Advanced Retinal Liposome 4% and Fermented Bean for Smoother, Refreshed-Looking Eyes | Korean Skincare, 30ml / 1.01 fl oz : Beauty & Personal Care.'}","{'title': 'K-SECRET Cosmetics: K-SECRET | Inspired by Seoul, Perfected by ...', 'link': 'https://ksecretcosmetics.com/', 'snippet': 'KSECRET I Inspired by Seoul, Perfected by Derma\xa0...'}","{'title': 'K-SECRET SEOUL 1988 Retinal Eye Cream ... - Amazon.com', 'link': 'https://www.amazon.com/KSECRET-SEOUL-1988-Retinal-Cream/dp/B0DGGBYDRZ', 'snippet': '... with Advanced Retinal Liposome 4% and Fermented Bean for Smoother, Refreshed-Looking Eyes | Korean Skincare, 30ml / 1.01 fl oz : Beauty & Personal Care.'}","{'title': 'K-Secret Seoul 1988 Retinol & Black Ginseng Serum - 30ml - تسوق ...', 'link': 'https://the-beauty-line.com/en/bwREKRa', 'snippet': 'Additional information: Country of Origin: South Korea; For night use only; Size: 30 ml; Barcode: 8809695240508. How to use: On\xa0...'}"
"Missha – Airy Fit Aloe Sheet Mask, 19g",Missha,Skincare,"aloe leaf extract – soothes irritation, cools the skin and supports barrier repair, humectants (glycerin, sodium hyaluronate) – draw in moisture and help retain hydration, botanical calming agents – reduce redness and improve texture, ultra-thin airy sheet – ensures high absorption and a gentle fit.",19g,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/missha-airy-fit-aloe-sheet-mask-19g/,"{'title': 'Missha Airy Mask Review Airy Fit Sheet Mask – More About Skin ...', 'link': 'https://www.visualsp.com/423387/Airy-Fit-Sheet-Mask-More-About-Skin', 'snippet': 'Missha Airy Fit Sheet Mask Aloe 19g - HDSKIN; View More Details. Get it delivered as soon as today. Schedule your delivery in checkout. More delivery\xa0...'}","{'title': 'MISSHA', 'link': 'https://missha.com/', 'snippet': 'We have had a wonderful journey over the past 20 years.We have listened closely to the skin-related concerns of our customers to create effects that satisfy\xa0...'}","{'title': 'Missha Airy Mask Review Airy Fit Sheet Mask – More About Skin ...', 'link': 'https://www.visualsp.com/423387/Airy-Fit-Sheet-Mask-More-About-Skin', 'snippet': 'Missha Airy Fit Sheet Mask Aloe 19g - HDSKIN; View More Details. Get it delivered as soon as today. Schedule your delivery in checkout. More delivery\xa0...'}","{'title': 'Lipstick, Lips, Makeup, Health & Beauty - PicClick CA', 'link': 'https://picclick.ca/Health-Beauty/Makeup/Lips/Lipstick/', 'snippet': 'Professional Festival Face Painting, Suitable For Face And Body Painting. Aloe Vera Lipstick Lip Balm Color Mood Changing Long Lasting Moisturizing - Material:\xa0...'}"
Medicube – PDRN Pink Collagen Capsule Cream – 55g,Medicube,Moisturizer,"PDRN – supports regeneration, improves elasticity, revitalizes the skin, collagen capsules – enhance firmness, smooth fine lines, boost suppleness, niacinamide – brightens, balances sebum, strengthens the barrier, hyaluronic acid – hydrates deeply and plumps the complexion, panthenol – soothes, moisturizes, and protects sensitive skin.",55g,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/medicube-pdrn-pink-collagen-capsule-cream-55g/,"{'title': 'medicube Capsule Cream with Salmon DNA PDRN ... - Amazon.com', 'link': 'https://www.amazon.com/medicube-PDRN-Moisturizer-Lightweight-Moisturizing/dp/B0DTKCN3Z4', 'snippet': 'Amazon.com: medicube Capsule Cream with Salmon DNA PDRN Pink Collagen | Lightweight Moisturizing Cream with PDRN, Niacinamide for Uneven Skin Tone and\xa0...'}","{'title': 'medicube Global (@medicube_global_official) • Instagram photos ...', 'link': 'https://www.instagram.com/medicube_global_official/', 'snippet': ""P.CALM Global Official. Follow. ilso_global's profile picture. ilso_global. ilso global. Follow. aplb.global's profile picture · aplb.global. APLB Global\xa0...""}","{'title': 'medicube Capsule Cream with Salmon DNA PDRN ... - Amazon.com', 'link': 'https://www.amazon.com/medicube-PDRN-Moisturizer-Lightweight-Moisturizing/dp/B0DTKCN3Z4', 'snippet': 'Amazon.com: medicube Capsule Cream with Salmon DNA PDRN Pink Collagen | Lightweight Moisturizing Cream with PDRN, Niacinamide for Uneven Skin Tone and\xa0...'}","{'title': '[JINYA PICK!] Medicube PDRN Pink Collagen Jelly Mist Serum 100ml', 'link': 'https://coscorea.com/products/jinya-pick-medicube-pdrn-pink-collagen-jelly-mist-serum-100ml', 'snippet': ""Mist Serum 100ml. Country Of Origin : Republic Of Korea Capacity ... D'ALBA Vita Toning Capsule Cream 55g. Sale price$29.90 $29.90 Regular price\xa0...""}"
"Missha – Airy Fit Tea Tree Sheet Mask, 19g",Missha,Skincare,"tea tree leaf extract – purifies and soothes irritated or blemish-prone areas, hydrating humectants – moisturise and prevent tightness, soothing botanicals – calm redness and improve overall comfort, ultra-thin airy sheet – enhances absorption and gentle delivery.",19g,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/missha-airy-fit-tea-tree-sheet-mask-19g/,"{'title': 'Missha Airy Fit Tea Tree Sheet Mask 19g : Beauty ... - Amazon.com', 'link': 'https://www.amazon.com/Missha-Airy-Sheet-Refreshing-Calming/dp/B07JH7PQY2', 'snippet': 'Top highlights · Boost Your Skincare Regimen · Tea Tree Extract Infusion for Calming Effects · Breathable, Lightweight Fabric · Soothes Skin Irritation\xa0...'}","{'title': 'MISSHA', 'link': 'https://missha.com/', 'snippet': 'We have had a wonderful journey over the past 20 years.We have listened closely to the skin-related concerns of our customers to create effects that satisfy\xa0...'}","{'title': 'Missha Airy Fit Tea Tree Sheet Mask 19g : Beauty ... - Amazon.com', 'link': 'https://www.amazon.com/Missha-Airy-Sheet-Refreshing-Calming/dp/B07JH7PQY2', 'snippet': 'Amazon.com : Missha Airy Fit Tea Tree Sheet Mask 19g : Beauty & Personal Care.'}","{'title': 'MISSHA Airy Fit Sheet Mask Potato (1EA) | ORION XO Exclusive Sri ...', 'link': 'https://orionxoxo.lk/products/missha-airy-fit-sheet-mask-potato', 'snippet': 'For your safety, always verify authenticity after your purchase: After receiving your product, scan the consumer anti-counterfeit QR code on the packaging. This\xa0...'}"
"Missha – Airy Fit Pomegranate Sheet Mask, 19g",Missha,Skincare,"pomegranate extract – rich in antioxidants, revitalizes and energizes the skin, humectants (glycerin, sodium hyaluronate) – deeply hydrate and support softness, botanical extracts – soothe and balance the skin, ultra-thin airy sheet – ensures high adherence and efficient essence delivery.",19g,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/missha-airy-fit-pomegranate-sheet-mask-19g/,"{'title': 'Missha Airy Fit Sheet Mask POMEGRANATE - Amazon.com', 'link': 'https://www.amazon.com/Missha-Airy-Sheet-Mask-Pomegranate/dp/B07JWMPLXR', 'snippet': 'Missha Airy Fit Sheet Mask POMEGRANATE · Missha Airy Fit Sheet Mask POMEGRANATE. View media content in full screen.'}","{'title': 'MISSHA', 'link': 'https://missha.com/', 'snippet': 'We have had a wonderful journey over the past 20 years.We have listened closely to the skin-related concerns of our customers to create effects that satisfy\xa0...'}","{'title': 'Missha Airy Fit Sheet Mask POMEGRANATE - Amazon.com', 'link': 'https://www.amazon.com/Missha-Airy-Sheet-Mask-Pomegranate/dp/B07JWMPLXR', 'snippet': 'Missha Airy Fit Sheet Mask POMEGRANATE · Missha Airy Fit Sheet Mask POMEGRANATE. View media content in full screen.'}","{'title': 'MISSHA, AIRY FIT SHEET MASK [POMEGRANATE] (19G*20EA ...', 'link': 'https://koreanset.com/products/airy-fit-sheet-mask-pomegranate-19g-20ea-12801', 'snippet': 'Country of Origin: South Korea. Barcode: 8809747959433. Newsletter. Sign up for exclusive offers, original stories, events and more. Your email. Subscribe\xa0...'}"
"Missha – Airy Fit Sheet Mask Rice, 19g",Missha,Skincare,"rice extract – rich in nutrients, hydrates and supports skin comfort, humectants (glycerin, sodium hyaluronate) – draw in moisture and promote plumpness, soothing botanical extracts – help calm irritation and restore balance, ultra-thin airy sheet – adheres closely for better essence absorption.",19g,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/missha-airy-fit-sheet-mask-rice-19g/,"{'title': 'Airy Fit Sheet Mask Rice & Green Tea 10 PK | SKIN CARE - missha us', 'link': 'https://misshaus.com/products/airy-fit-sheet-mask-rice-green-tea-10-pk', 'snippet': 'MISSHA Airy Fit Sheet Mask Rice & Green Tea 10 PK. Treat your skin to a spa day at home with this new 10-pack sheet mask set, specially formulated to\xa0...'}","{'title': 'MISSHA', 'link': 'https://missha.com/', 'snippet': 'We have had a wonderful journey over the past 20 years.We have listened closely to the skin-related concerns of our customers to create effects that satisfy\xa0...'}","{'title': 'Missha Airy Fit Sheet Mask - Rice | Missha | Skin Care ...', 'link': 'https://www.bbcreamshop.eu/product/masks/missha-airy-fit-sheet-mask---rice/454', 'snippet': 'Product description. Cleansing sheet mask with rice extract suitable for all skin types. Deeply hydrates and nourishes the\xa0...'}",
"Missha – Airy Fit Sheet Mask – Cucumber, 19g",Missha,Skincare,"cucumber extract – cools and soothes, provides hydration and revives tired skin, humectants (glycerin, sodium hyaluronate) – draw in moisture and reinforce comfort, soothing botanical extracts – help calm and refresh the complexion, ultra-thin airy sheet – ensures high adherence and efficient absorption.",19g,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/missha-airy-fit-sheet-mask-cucumber-19g/,"{'title': 'Missha Airy Fit Sheet Mask - Cucumber | Missha | Skin Care ...', 'link': 'https://www.bbcreamshop.eu/product/masks/missha-airy-fit-sheet-mask---cucumber/444', 'snippet': 'Product description · Hydrating and revitalising sheet mask suitable for all skin types. · Deeply hydrates, moisturizes and intensively nourishes the skin.'}","{'title': 'MISSHA', 'link': 'https://missha.com/', 'snippet': 'We have had a wonderful journey over the past 20 years.We have listened closely to the skin-related concerns of our customers to create effects that satisfy\xa0...'}","{'title': 'Missha Airy Fit Sheet Mask - Cucumber | Missha | Skin Care ...', 'link': 'https://www.bbcreamshop.eu/product/masks/missha-airy-fit-sheet-mask---cucumber/444', 'snippet': 'It is ecological and based on 100% natural ingredients. Contains: Cucumber extract hydrates and softens skin, refreshes and revitalizes, diminishes pores,\xa0...'}",
"Missha – Airy Fit Sheet Mask – Pearl, 19g",Missha,Skincare,"pearl extract – brightens and adds a subtle luminous sheen, humectants (glycerin, sodium hyaluronate) – deeply hydrate and plump the skin, soothing botanical extracts – help calm and relax the complexion, ultra-thin airy sheet – ensures efficient delivery and comfortable wear.",19g,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/missha-airy-fit-sheet-mask-pearl-19g/,"{'title': 'Missha Airy Fit Sheet Mask PEARL : Sports & Outdoors - Amazon.com', 'link': 'https://www.amazon.com/Missha-Airy-Sheet-Mask-Pearl/dp/B07JH7PQPL', 'snippet': 'Buy Missha Airy Fit Sheet Mask PEARL on Amazon.com ✓ FREE SHIPPING on qualified orders.'}","{'title': 'MISSHA', 'link': 'https://missha.com/', 'snippet': 'We have had a wonderful journey over the past 20 years.We have listened closely to the skin-related concerns of our customers to create effects that satisfy\xa0...'}","{'title': 'Missha Airy Fit Sheet Mask PEARL : Sports & Outdoors - Amazon.com', 'link': 'https://www.amazon.com/Missha-Airy-Sheet-Mask-Pearl/dp/B07JH7PQPL', 'snippet': 'Buy Missha Airy Fit Sheet Mask PEARL on Amazon.com ✓ FREE SHIPPING on qualified orders.'}","{'title': 'Lipstick, Lips, Makeup, Health & Beauty - PicClick CA', 'link': 'https://picclick.ca/Health-Beauty/Makeup/Lips/Lipstick/', 'snippet': 'Living in the country has many beautiful flowers, which are seen in my quilts & pillows. SEPHORA COLLECTION Lip Last Matte Lipstick Crepe - New in; Anastasia\xa0...'}"
Medicube – Zero Pore Pad 2.0 70 Pcs,Medicube,Skincare,"AHA & BHA acids – exfoliate gently, unclog pores, prevent blackheads, refine texture, niacinamide – brightens, regulates sebum, strengthens the barrier, panthenol – hydrates, calms, and protects the skin, moisturizing agents – maintain hydration without heaviness.",70Pcs,https://qudobeauty.com/wp-content/uploads/2025/03/Qudo-Logo-2.webp,https://qudobeauty.com/product/medicube-zero-pore-pad-2-0-70-pcs/,"{'title': 'medicube Toner Pads Zero Pore Pad 2.0 | Dual ... - Amazon.com', 'link': 'https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG', 'snippet': 'Amazon.com : medicube Toner Pads Zero Pore Pad 2.0 | Dual-Textured Facial Pad for Exfoliation and Pore Care with 4.5% AHA Lactic Acid, 0.45% BHA Salicylic\xa0...'}","{'title': 'medicube Global (@medicube_global_official) • Instagram photos ...', 'link': 'https://www.instagram.com/medicube_global_official/', 'snippet': ""P.CALM Global Official. Follow. ilso_global's profile picture. ilso_global. ilso global. Follow. aplb.global's profile picture · aplb.global. APLB Global\xa0...""}","{'title': 'medicube Toner Pads Zero Pore Pad 2.0 | Dual ... - Amazon.com', 'link': 'https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG', 'snippet': 'Amazon.com : medicube Toner Pads Zero Pore Pad 2.0 | Dual-Textured Facial Pad for Exfoliation and Pore Care with 4.5% AHA Lactic Acid, 0.45% BHA Salicylic\xa0...'}","{'title': 'Medicube ZERO PORE PAD MILD Wholesale - Peacock K-Beauty', 'link': 'https://peacockbeautywholesale.com/product/medicube-zero-pore-pad-mild-wholesale/', 'snippet': 'Brand Medicube Skin Type All Unit Count 70 Count Number of Items 1 Special Feature Exfoliating About this item Exfoliates and Refines Pores - Perfect for\xa0...'}"
